Цвет,зеленый
"Пробег, км",200 000
Руль,левый
Поколение,4 поколение
"Продажа BMW X3, 2013 год в Санкт-Петербурге",1 300 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",216 743
Руль,левый
Поколение,2 поколение
"Продажа BMW X6, 2008 год в Бердске",1 405 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",196 000
Руль,левый
Поколение,1 поколение
"Продажа BMW X5, 2008 год в Когалыме",1 120 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"272 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серый
"Пробег, км",280 000
Руль,левый
Поколение,2 поколение
Комплектация,xDrive 30i AT Base
"Продажа BMW 5-Series, 1996 год в Судаке",320 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"170 л.с., налог"
Коробка передач,механика
Привод,задний
Тип кузова,седан
Цвет,серый
"Пробег, км",350 000
Руль,левый
Поколение,4 поколение
"Продажа BMW X3, 2016 год в Барнауле",2 525 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,коричневый
"Пробег, км",182 000
Руль,левый
Поколение,"2 поколение, рестайлинг"
Комплектация,xDrive 20i AT
"Продажа BMW X5, 2012 год в Омске",1 999 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",103 000
Руль,левый
Поколение,"2 поколение, рестайлинг"
Комплектация,xDrive 35i AT Luxury 
"Продажа BMW 5-Series, 2020 год в Кургане",4 600 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",60 000
Руль,левый
Поколение,7 поколение
"Продажа BMW 3-Series, 2014 год в Хасавюрте",1 480 000 ₽,Двигатель,"бензин, 1.6 л"
Мощность,"136 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,белый
"Пробег, км",212 000
Руль,левый
Поколение,6 поколение
"Продажа BMW X5, 2005 год в Москве",900 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"218 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",325 000
Руль,левый
Поколение,"1 поколение, рестайлинг"
Комплектация,3.0d AT xDrive
"Продажа BMW X5, 2018 год в Новосибирске",3 900 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",118 900
Руль,левый
"Продажа BMW 3-Series, 2017 год в Новосибирске",2 070 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",77 767
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X5, 2021 год в Екатеринбурге",14 950 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"625 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,синий
"Пробег, км",12 500
Руль,левый
Поколение,4 поколение
Комплектация,X5 M Competition First Edition
"Продажа BMW 7-Series, 2010 год в Краснодаре",1 350 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"407 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",156 000
Руль,левый
Поколение,5 поколение
"Продажа BMW X5, 2017 год в Москве",3 999 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"313 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",131 000
Руль,левый
Поколение,3 поколение
"Продажа BMW 5-Series, 2015 год в Москве",1 649 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,белый
"Пробег, км",86 000
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW 5-Series, 2014 год в Москве",1 449 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,белый
"Пробег, км",97 000
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X3, 2018 год в Сочи",3 800 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",152 000
Руль,левый
Поколение,3 поколение
"Продажа BMW 7-Series, 2003 год в Новосибирске",255 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"333 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,синий
"Пробег, км",205 000
Руль,левый
Особые отметки,требуется ремонт или не на ходу
Поколение,4 поколение
"Продажа BMW 5-Series, 2004 год в Ишиме",730 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"192 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,черный
"Пробег, км",100 000
Руль,левый
Поколение,5 поколение
"Продажа BMW 7-Series, 2001 год в Москве",785 000 ₽,Двигатель,"бензин, 3.5 л"
Мощность,"238 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,зеленый
"Пробег, км",327 600
Руль,левый
Поколение,"3 поколение, рестайлинг"
Комплектация,735i AT
"Продажа BMW 5-Series, 2010 год в Крымске",2 500 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,белый
"Пробег, км",96 000
Руль,левый
Поколение,6 поколение
"Продажа BMW 3-Series, 2017 год в Санкт-Петербурге",1 942 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,белый
"Пробег, км",84 500
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW 7-Series, 2019 год в Тюмени",7 299 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"320 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",80 000
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW 5-Series, 2015 год в Екатеринбурге",1 700 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW 3-Series, 2002 год в Краснодаре",615 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"192 л.с., налог"
Коробка передач,механика
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",257 000
Руль,левый
Поколение,"4 поколение, рестайлинг"
"Продажа BMW X3, 2011 год в Тюмени",1 680 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",153 400
Руль,левый
Поколение,2 поколение
"Продажа BMW 5-Series, 2014 год в Краснодаре",1 465 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,черный
"Пробег, км",144 000
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X6, 2013 год в Сочи",1 873 485 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"555 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",70 000
Руль,левый
Особые отметки,"документы с проблемами, запрет"
Поколение,"1 поколение, рестайлинг"
"Продажа BMW X5, 2018 год в Москве",5 445 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"575 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",59 612
Руль,левый
Поколение,3 поколение
Комплектация,X5 M
"Продажа BMW 4-Series, 2014 год в Санкт-Петербурге",1 789 789 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,лифтбек
Цвет,черный
"Пробег, км",159 457
Руль,левый
Поколение,1 поколение
"Продажа BMW X1, 2013 год в Санкт-Петербурге",1 189 789 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,коричневый
"Пробег, км",230 348
Руль,левый
Поколение,"1 поколение, рестайлинг"
"Продажа BMW 5-Series, 1997 год в Липецке",250 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"170 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,зеленый
"Пробег, км",350 000
Руль,левый
Поколение,4 поколение
"Продажа BMW 5-Series, 2014 год в Москве",1 604 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,синий
"Пробег, км",187 367
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X1, 2012 год в Санкт-Петербурге",1 128 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"150 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,коричневый
"Пробег, км",93 752
Руль,левый
Поколение,1 поколение
"Продажа BMW X5, 2007 год в Уйском",1 100 000 ₽,Двигатель,"бензин, 4.8 л"
Мощность,"355 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серый
"Пробег, км",214 000
Руль,левый
Поколение,2 поколение
Комплектация,xDrive 48i AT
"Продажа BMW 3-Series, 2017 год в Санкт-Петербурге",2 230 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,синий
"Пробег, км",56 542
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X3, 2017 год в Санкт-Петербурге",2 849 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",86 000
Руль,левый
"Продажа BMW X5, 2008 год в Ангарске",1 090 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"272 л.с., налог"
Коробка передач,АКПП
Привод,4WD
